Name,Hersteller,Funktion
Service 5986,HAW,Assistenz
Service 5987,Fraunhofer IPA,"Ueberwachung,Kommunikation,Assistenz"
Service 5988,SOP,"Assistenz,Sprachverarbeitung,Generierung"
Service 5989,SOP,"Analyse,Empfehlung"
Service 5990,SOP,Optimierung
Service 5991,SOP,"Mustererkennung,Generierung,Kommunikation"
Service 5992,HAW,"Generierung,Sprachverarbeitung"
Service 5993,SOP,Generierung
Service 5994,SOP,"Analyse,Ueberwachung,Generierung"
Service 5995,Fraunhofer IPA,Automatisierung
Service 5996,Fraunhofer IPA,Sprachverarbeitung
Service 5997,SOP,"Optimierung,Diagnose,Clustering"
Service 5998,Fraunhofer IPA,"Diagnose,Assistenz,Ueberwachung"
Service 5999,Fraunhofer IPA,Clustering
Service 6000,Fraunhofer IPA,Clustering
Service 6001,HAW,"Mustererkennung,Kommunikation"
Service 6002,SOP,Sprachverarbeitung
Service 6003,SOP,"Clustering,Analyse,Diagnose"
Service 6004,Fraunhofer IPA,"Kommunikation,Assistenz"
Service 6005,HAW,Kommunikation
Service 6006,HAW,Sprachverarbeitung
Service 6007,SOP,"Automatisierung,Analyse"
Service 6008,HAW,Kommunikation
Service 6009,HAW,"Empfehlung,Diagnose"
Service 6010,HAW,Clustering
Service 6011,Fraunhofer IPA,Mustererkennung
Service 6012,Fraunhofer IPA,"Ueberwachung,Optimierung,Automatisierung"
Service 6013,HAW,"Diagnose,Assistenz"
Service 6014,Fraunhofer IPA,"Generierung,Clustering,Automatisierung"
Service 6015,SOP,"Clustering,Generierung,Diagnose"
Service 6016,Fraunhofer IPA,"Diagnose,Generierung,Clustering"
Service 6017,Fraunhofer IPA,Assistenz
Service 6018,SOP,"Generierung,Ueberwachung"
Service 6019,HAW,"Analyse,Diagnose,Assistenz"
Service 6020,Fraunhofer IPA,"Sprachverarbeitung,Mustererkennung"
Service 6021,SOP,Optimierung
Service 6022,HAW,Kommunikation
Service 6023,SOP,"Clustering,Generierung,Sprachverarbeitung"
Service 6024,SOP,Mustererkennung
Service 6025,SOP,Diagnose
Service 6026,HAW,"Optimierung,Kommunikation,Empfehlung"
Service 6027,SOP,"Clustering,Empfehlung"
Service 6028,Fraunhofer IPA,"Kommunikation,Generierung"
Service 6029,HAW,Ueberwachung
Service 6030,Fraunhofer IPA,"Automatisierung,Ueberwachung,Assistenz"
Service 6031,Fraunhofer IPA,Analyse
Service 6032,HAW,"Sprachverarbeitung,Automatisierung,Generierung"
Service 6033,Fraunhofer IPA,Generierung
Service 6034,SOP,Generierung
Service 6035,SOP,Empfehlung
Service 6036,Fraunhofer IPA,"Generierung,Empfehlung"
Service 6037,HAW,"Ueberwachung,Automatisierung"
Service 6038,Fraunhofer IPA,"Optimierung,Sprachverarbeitung,Clustering"
Service 6039,HAW,"Kommunikation,Ueberwachung,Optimierung"
Service 6040,SOP,"Automatisierung,Clustering,Diagnose"
Service 6041,HAW,"Optimierung,Sprachverarbeitung,Mustererkennung"
Service 6042,SOP,"Clustering,Empfehlung,Analyse"
Service 6043,HAW,Automatisierung
Service 6044,Fraunhofer IPA,"Sprachverarbeitung,Kommunikation,Assistenz"
Service 6045,Fraunhofer IPA,Diagnose
Service 6046,SOP,Diagnose
Service 6047,HAW,"Sprachverarbeitung,Empfehlung"
Service 6048,HAW,"Analyse,Kommunikation"
Service 6049,SOP,Mustererkennung
Service 6050,Fraunhofer IPA,"Ueberwachung,Analyse,Assistenz"
Service 6051,Fraunhofer IPA,"Empfehlung,Clustering"
Service 6052,Fraunhofer IPA,Ueberwachung
Service 6053,SOP,Kommunikation
Service 6054,HAW,"Empfehlung,Ueberwachung,Kommunikation"
Service 6055,HAW,"Kommunikation,Optimierung,Diagnose"
Service 6056,HAW,"Clustering,Empfehlung,Automatisierung"
Service 6057,Fraunhofer IPA,"Empfehlung,Mustererkennung"
Service 6058,Fraunhofer IPA,"Automatisierung,Analyse,Ueberwachung"
Service 6059,Fraunhofer IPA,"Assistenz,Diagnose,Automatisierung"
Service 6060,HAW,Generierung
Service 6061,HAW,"Ueberwachung,Sprachverarbeitung"
Service 6062,Fraunhofer IPA,Optimierung
Service 6063,Fraunhofer IPA,"Empfehlung,Clustering"
Service 6064,SOP,Assistenz
Service 6065,Fraunhofer IPA,"Sprachverarbeitung,Assistenz"
Service 6066,HAW,"Clustering,Diagnose"
Service 6067,HAW,"Sprachverarbeitung,Automatisierung,Clustering"
Service 6068,Fraunhofer IPA,Ueberwachung
Service 6069,Fraunhofer IPA,Automatisierung
Service 6070,Fraunhofer IPA,"Ueberwachung,Empfehlung,Mustererkennung"
Service 6071,Fraunhofer IPA,"Automatisierung,Generierung"
Service 6072,HAW,"Clustering,Assistenz,Sprachverarbeitung"
Service 6073,SOP,"Kommunikation,Automatisierung"
Service 6074,HAW,"Sprachverarbeitung,Automatisierung,Diagnose"
Service 6075,HAW,"Sprachverarbeitung,Automatisierung"
Service 6076,Fraunhofer IPA,"Mustererkennung,Sprachverarbeitung,Clustering"
Service 6077,SOP,Ueberwachung
Service 6078,HAW,Optimierung
Service 6079,SOP,"Ueberwachung,Optimierung"
Service 6080,SOP,"Assistenz,Ueberwachung"
Service 6081,SOP,"Analyse,Automatisierung"
Service 6082,HAW,"Empfehlung,Clustering"
Service 6083,Fraunhofer IPA,"Clustering,Sprachverarbeitung,Optimierung"
Service 6084,HAW,Clustering
Service 6085,HAW,Generierung
Service 6086,SOP,"Assistenz,Diagnose"
Service 6087,HAW,"Generierung,Mustererkennung,Ueberwachung"
Service 6088,HAW,"Automatisierung,Generierung,Analyse"
Service 6089,HAW,"Analyse,Diagnose"
Service 6090,HAW,"Mustererkennung,Clustering"
Service 6091,SOP,Empfehlung
Service 6092,SOP,Empfehlung
Service 6093,Fraunhofer IPA,"Mustererkennung,Empfehlung"
Service 6094,HAW,Optimierung
Service 6095,SOP,"Sprachverarbeitung,Optimierung,Assistenz"
Service 6096,Fraunhofer IPA,Empfehlung
Service 6097,SOP,"Empfehlung,Mustererkennung,Kommunikation"
Service 6098,SOP,Analyse
Service 6099,Fraunhofer IPA,"Assistenz,Analyse,Generierung"
Service 6100,SOP,"Empfehlung,Generierung"
Service 6101,Fraunhofer IPA,"Sprachverarbeitung,Ueberwachung,Automatisierung"
Service 6102,SOP,"Optimierung,Assistenz"
Service 6103,SOP,Analyse
Service 6104,SOP,Optimierung
Service 6105,HAW,"Optimierung,Automatisierung,Kommunikation"
Service 6106,HAW,"Kommunikation,Mustererkennung,Assistenz"
Service 6107,SOP,"Empfehlung,Optimierung,Ueberwachung"
Service 6108,HAW,Assistenz
Service 6109,SOP,Empfehlung
Service 6110,SOP,Empfehlung
Service 6111,Fraunhofer IPA,"Clustering,Optimierung"
Service 6112,Fraunhofer IPA,Sprachverarbeitung
Service 6113,HAW,Optimierung
Service 6114,Fraunhofer IPA,"Kommunikation,Analyse,Sprachverarbeitung"
Service 6115,SOP,Sprachverarbeitung
Service 6116,SOP,"Generierung,Kommunikation"
Service 6117,HAW,"Mustererkennung,Kommunikation"
Service 6118,HAW,"Kommunikation,Empfehlung,Assistenz"
Service 6119,HAW,Automatisierung
Service 6120,SOP,Empfehlung
Service 6121,HAW,"Empfehlung,Optimierung"
Service 6122,SOP,"Empfehlung,Kommunikation,Clustering"
Service 6123,HAW,"Sprachverarbeitung,Generierung"
Service 6124,Fraunhofer IPA,Automatisierung
Service 6125,SOP,Empfehlung
Service 6126,SOP,Optimierung
Service 6127,HAW,"Analyse,Kommunikation"
Service 6128,SOP,"Automatisierung,Generierung"
Service 6129,SOP,"Mustererkennung,Generierung,Diagnose"
Service 6130,HAW,Assistenz
Service 6131,SOP,"Diagnose,Generierung"
Service 6132,SOP,"Mustererkennung,Sprachverarbeitung,Ueberwachung"
Service 6133,Fraunhofer IPA,"Optimierung,Automatisierung,Diagnose"
Service 6134,Fraunhofer IPA,"Optimierung,Analyse"
Service 6135,Fraunhofer IPA,"Assistenz,Automatisierung"
Service 6136,SOP,"Assistenz,Mustererkennung,Kommunikation"
Service 6137,Fraunhofer IPA,"Kommunikation,Ueberwachung,Optimierung"
Service 6138,Fraunhofer IPA,"Assistenz,Analyse,Sprachverarbeitung"
Service 6139,Fraunhofer IPA,"Ueberwachung,Optimierung"
Service 6140,SOP,Assistenz
Service 6141,Fraunhofer IPA,"Kommunikation,Assistenz"
Service 6142,HAW,Kommunikation
Service 6143,Fraunhofer IPA,"Generierung,Analyse,Optimierung"
Service 6144,Fraunhofer IPA,"Sprachverarbeitung,Assistenz"
Service 6145,Fraunhofer IPA,"Assistenz,Generierung"
Service 6146,HAW,"Clustering,Sprachverarbeitung,Optimierung"
Service 6147,HAW,"Sprachverarbeitung,Empfehlung"
Service 6148,Fraunhofer IPA,"Optimierung,Kommunikation,Generierung"
Service 6149,SOP,"Ueberwachung,Clustering"
Service 6150,SOP,"Generierung,Clustering,Analyse"
Service 6151,Fraunhofer IPA,"Diagnose,Analyse"
Service 6152,Fraunhofer IPA,"Diagnose,Empfehlung"
Service 6153,SOP,Clustering
Service 6154,HAW,Empfehlung
Service 6155,SOP,"Generierung,Clustering,Kommunikation"
Service 6156,HAW,"Assistenz,Empfehlung"
Service 6157,SOP,"Sprachverarbeitung,Diagnose"
Service 6158,HAW,"Diagnose,Empfehlung"
Service 6159,Fraunhofer IPA,"Mustererkennung,Clustering,Generierung"
Service 6160,HAW,Diagnose
Service 6161,SOP,"Kommunikation,Assistenz"
Service 6162,HAW,"Sprachverarbeitung,Kommunikation"
Service 6163,HAW,Kommunikation
Service 6164,HAW,Optimierung
Service 6165,HAW,"Analyse,Optimierung"
Service 6166,Fraunhofer IPA,Diagnose
Service 6167,Fraunhofer IPA,"Automatisierung,Generierung"
Service 6168,HAW,"Empfehlung,Generierung,Kommunikation"
Service 6169,Fraunhofer IPA,"Diagnose,Sprachverarbeitung,Mustererkennung"
Service 6170,Fraunhofer IPA,"Analyse,Generierung"
Service 6171,HAW,"Empfehlung,Generierung"
Service 6172,SOP,"Empfehlung,Clustering,Analyse"
Service 6173,SOP,"Diagnose,Automatisierung"
Service 6174,Fraunhofer IPA,Sprachverarbeitung
Service 6175,HAW,"Clustering,Mustererkennung"
Service 6176,HAW,"Diagnose,Automatisierung,Empfehlung"
Service 6177,Fraunhofer IPA,"Optimierung,Ueberwachung,Automatisierung"
Service 6178,HAW,Optimierung
Service 6179,Fraunhofer IPA,Optimierung
Service 6180,HAW,Optimierung
Service 6181,SOP,"Analyse,Automatisierung"
Service 6182,Fraunhofer IPA,"Optimierung,Assistenz,Generierung"
Service 6183,HAW,"Generierung,Mustererkennung,Analyse"
Service 6184,SOP,"Generierung,Kommunikation"
Service 6185,HAW,"Sprachverarbeitung,Mustererkennung"
Service 6186,SOP,"Kommunikation,Ueberwachung,Mustererkennung"
Service 6187,SOP,"Empfehlung,Optimierung,Ueberwachung"
Service 6188,HAW,"Analyse,Optimierung"
Service 6189,HAW,Optimierung
Service 6190,SOP,"Analyse,Clustering"
Service 6191,HAW,"Empfehlung,Diagnose"
Service 6192,SOP,"Kommunikation,Empfehlung,Assistenz"
Service 6193,HAW,"Mustererkennung,Automatisierung,Generierung"
Service 6194,Fraunhofer IPA,"Clustering,Empfehlung,Sprachverarbeitung"
Service 6195,Fraunhofer IPA,"Ueberwachung,Sprachverarbeitung,Mustererkennung"
Service 6196,Fraunhofer IPA,"Assistenz,Empfehlung,Automatisierung"
Service 6197,Fraunhofer IPA,Diagnose
Service 6198,SOP,"Diagnose,Kommunikation"
Service 6199,Fraunhofer IPA,Generierung
Service 6200,HAW,"Ueberwachung,Generierung,Diagnose"
Service 6201,SOP,Assistenz
Service 6202,Fraunhofer IPA,"Clustering,Sprachverarbeitung,Empfehlung"
Service 6203,HAW,"Diagnose,Sprachverarbeitung,Empfehlung"
Service 6204,Fraunhofer IPA,"Generierung,Kommunikation"
Service 6205,Fraunhofer IPA,"Assistenz,Mustererkennung,Sprachverarbeitung"
Service 6206,SOP,"Generierung,Empfehlung,Clustering"
Service 6207,SOP,Analyse
Service 6208,Fraunhofer IPA,"Diagnose,Analyse,Kommunikation"
Service 6209,Fraunhofer IPA,"Empfehlung,Mustererkennung,Clustering"
Service 6210,Fraunhofer IPA,"Ueberwachung,Assistenz,Mustererkennung"
Service 6211,Fraunhofer IPA,Optimierung
Service 6212,SOP,"Mustererkennung,Kommunikation"
Service 6213,Fraunhofer IPA,Automatisierung
Service 6214,Fraunhofer IPA,Mustererkennung
Service 6215,HAW,"Sprachverarbeitung,Diagnose,Ueberwachung"
Service 6216,Fraunhofer IPA,"Optimierung,Assistenz"
Service 6217,HAW,Mustererkennung
Service 6218,SOP,"Diagnose,Analyse"
Service 6219,SOP,"Generierung,Automatisierung"
Service 6220,Fraunhofer IPA,Optimierung
Service 6221,SOP,"Empfehlung,Kommunikation,Ueberwachung"
Service 6222,Fraunhofer IPA,"Ueberwachung,Sprachverarbeitung"
Service 6223,HAW,Generierung
Service 6224,HAW,"Diagnose,Analyse,Assistenz"
Service 6225,HAW,Clustering
Service 6226,SOP,Generierung
Service 6227,SOP,"Generierung,Mustererkennung,Ueberwachung"
Service 6228,Fraunhofer IPA,"Assistenz,Generierung"
Service 6229,Fraunhofer IPA,Generierung
Service 6230,Fraunhofer IPA,Generierung
Service 6231,SOP,"Ueberwachung,Kommunikation,Empfehlung"
Service 6232,Fraunhofer IPA,"Generierung,Sprachverarbeitung"
Service 6233,SOP,Mustererkennung
Service 6234,Fraunhofer IPA,"Kommunikation,Clustering"
Service 6235,SOP,"Automatisierung,Optimierung,Assistenz"
Service 6236,Fraunhofer IPA,"Kommunikation,Empfehlung,Assistenz"
Service 6237,SOP,Ueberwachung
Service 6238,HAW,"Mustererkennung,Sprachverarbeitung,Empfehlung"
Service 6239,SOP,Kommunikation
Service 6240,SOP,Optimierung
Service 6241,SOP,Mustererkennung
Service 6242,Fraunhofer IPA,"Optimierung,Sprachverarbeitung"
Service 6243,Fraunhofer IPA,"Generierung,Clustering"
Service 6244,SOP,"Ueberwachung,Generierung"
Service 6245,Fraunhofer IPA,Generierung
Service 6246,HAW,"Generierung,Analyse,Sprachverarbeitung"
Service 6247,SOP,"Kommunikation,Generierung,Optimierung"
Service 6248,HAW,"Empfehlung,Diagnose"
Service 6249,Fraunhofer IPA,"Diagnose,Analyse,Clustering"
Service 6250,HAW,"Diagnose,Clustering"
Service 6251,Fraunhofer IPA,Generierung
Service 6252,HAW,"Generierung,Empfehlung,Optimierung"
Service 6253,HAW,"Empfehlung,Analyse"
Service 6254,HAW,Kommunikation
Service 6255,HAW,"Empfehlung,Automatisierung"
Service 6256,Fraunhofer IPA,"Clustering,Kommunikation"
Service 6257,HAW,Sprachverarbeitung
Service 6258,HAW,"Diagnose,Sprachverarbeitung,Ueberwachung"
Service 6259,Fraunhofer IPA,"Diagnose,Kommunikation"
Service 6260,HAW,"Ueberwachung,Analyse,Diagnose"
Service 6261,SOP,"Clustering,Diagnose,Optimierung"
Service 6262,Fraunhofer IPA,Sprachverarbeitung
Service 6263,SOP,"Clustering,Generierung"
Service 6264,HAW,Ueberwachung
Service 6265,SOP,"Generierung,Ueberwachung,Assistenz"
Service 6266,Fraunhofer IPA,Kommunikation
Service 6267,Fraunhofer IPA,Ueberwachung
Service 6268,Fraunhofer IPA,"Empfehlung,Generierung,Kommunikation"
Service 6269,Fraunhofer IPA,"Sprachverarbeitung,Ueberwachung,Kommunikation"
Service 6270,Fraunhofer IPA,"Diagnose,Automatisierung"
Service 6271,Fraunhofer IPA,"Ueberwachung,Kommunikation"
Service 6272,Fraunhofer IPA,"Automatisierung,Diagnose"
Service 6273,Fraunhofer IPA,Diagnose
Service 6274,SOP,"Mustererkennung,Generierung,Kommunikation"
Service 6275,Fraunhofer IPA,"Ueberwachung,Assistenz,Generierung"
Service 6276,Fraunhofer IPA,Assistenz
Service 6277,SOP,Clustering
Service 6278,SOP,"Assistenz,Mustererkennung,Diagnose"
Service 6279,Fraunhofer IPA,"Automatisierung,Assistenz"
Service 6280,SOP,"Automatisierung,Empfehlung"
Service 6281,SOP,"Generierung,Ueberwachung"
Service 6282,HAW,"Generierung,Analyse,Diagnose"
Service 6283,HAW,Ueberwachung
Service 6284,HAW,Diagnose
Service 6285,Fraunhofer IPA,"Automatisierung,Generierung"
Service 6286,HAW,"Sprachverarbeitung,Generierung"
Service 6287,SOP,"Diagnose,Generierung"
Service 6288,SOP,"Generierung,Mustererkennung,Diagnose"
Service 6289,HAW,Sprachverarbeitung
Service 6290,HAW,"Automatisierung,Assistenz,Mustererkennung"
Service 6291,HAW,"Diagnose,Assistenz,Generierung"
Service 6292,SOP,"Automatisierung,Empfehlung"
Service 6293,HAW,"Clustering,Kommunikation"
Service 6294,HAW,"Empfehlung,Sprachverarbeitung"
Service 6295,SOP,"Ueberwachung,Automatisierung,Diagnose"
Service 6296,Fraunhofer IPA,Diagnose
Service 6297,HAW,"Ueberwachung,Sprachverarbeitung,Analyse"
Service 6298,HAW,Generierung
Service 6299,Fraunhofer IPA,"Optimierung,Kommunikation,Automatisierung"
Service 6300,SOP,"Mustererkennung,Optimierung,Kommunikation"
Service 6301,SOP,Optimierung
Service 6302,Fraunhofer IPA,Empfehlung
Service 6303,SOP,"Optimierung,Sprachverarbeitung,Assistenz"
Service 6304,Fraunhofer IPA,Empfehlung
Service 6305,Fraunhofer IPA,"Kommunikation,Optimierung"
Service 6306,SOP,"Generierung,Analyse"
Service 6307,SOP,"Mustererkennung,Optimierung,Analyse"
Service 6308,Fraunhofer IPA,"Ueberwachung,Mustererkennung,Kommunikation"
Service 6309,SOP,Analyse
Service 6310,SOP,Generierung
Service 6311,Fraunhofer IPA,"Empfehlung,Ueberwachung"
Service 6312,HAW,Optimierung
Service 6313,SOP,Analyse
Service 6314,HAW,"Analyse,Optimierung,Empfehlung"
Service 6315,Fraunhofer IPA,"Assistenz,Automatisierung"
Service 6316,Fraunhofer IPA,"Automatisierung,Empfehlung,Sprachverarbeitung"
Service 6317,SOP,"Optimierung,Ueberwachung,Sprachverarbeitung"
Service 6318,HAW,Mustererkennung
Service 6319,SOP,Analyse
Service 6320,HAW,Optimierung
Service 6321,Fraunhofer IPA,"Ueberwachung,Analyse"
Service 6322,SOP,"Clustering,Optimierung,Generierung"
Service 6323,HAW,Clustering
Service 6324,SOP,Ueberwachung
Service 6325,HAW,"Empfehlung,Mustererkennung,Automatisierung"
Service 6326,HAW,Analyse
Service 6327,HAW,Automatisierung
Service 6328,Fraunhofer IPA,"Assistenz,Optimierung,Generierung"
Service 6329,Fraunhofer IPA,"Analyse,Assistenz,Empfehlung"
Service 6330,HAW,Empfehlung
Service 6331,HAW,"Mustererkennung,Generierung"
Service 6332,Fraunhofer IPA,Sprachverarbeitung
Service 6333,HAW,"Ueberwachung,Automatisierung,Mustererkennung"
Service 6334,Fraunhofer IPA,"Optimierung,Analyse,Automatisierung"
Service 6335,HAW,"Kommunikation,Mustererkennung"
Service 6336,SOP,"Empfehlung,Sprachverarbeitung"
Service 6337,SOP,"Optimierung,Analyse"
Service 6338,HAW,"Sprachverarbeitung,Mustererkennung"
Service 6339,SOP,"Analyse,Mustererkennung,Diagnose"
Service 6340,SOP,"Automatisierung,Kommunikation,Diagnose"
Service 6341,Fraunhofer IPA,"Ueberwachung,Mustererkennung"
Service 6342,Fraunhofer IPA,Generierung
Service 6343,Fraunhofer IPA,"Kommunikation,Sprachverarbeitung"
Service 6344,SOP,Optimierung
Service 6345,HAW,Assistenz
Service 6346,Fraunhofer IPA,"Diagnose,Automatisierung"
Service 6347,SOP,"Ueberwachung,Generierung"
Service 6348,SOP,Empfehlung
Service 6349,Fraunhofer IPA,"Sprachverarbeitung,Analyse"
Service 6350,Fraunhofer IPA,"Optimierung,Kommunikation"
Service 6351,SOP,"Optimierung,Clustering,Kommunikation"
Service 6352,SOP,Mustererkennung
Service 6353,Fraunhofer IPA,"Kommunikation,Diagnose,Empfehlung"
Service 6354,Fraunhofer IPA,"Kommunikation,Mustererkennung"
Service 6355,Fraunhofer IPA,"Empfehlung,Kommunikation,Mustererkennung"
Service 6356,SOP,"Mustererkennung,Assistenz,Generierung"
Service 6357,HAW,"Mustererkennung,Generierung"
Service 6358,HAW,"Kommunikation,Analyse"
Service 6359,Fraunhofer IPA,Generierung
Service 6360,SOP,Kommunikation
Service 6361,HAW,"Sprachverarbeitung,Generierung"
Service 6362,Fraunhofer IPA,Optimierung
Service 6363,HAW,Empfehlung
Service 6364,SOP,Assistenz
Service 6365,SOP,"Automatisierung,Generierung"
Service 6366,Fraunhofer IPA,"Assistenz,Kommunikation,Ueberwachung"
Service 6367,SOP,"Ueberwachung,Optimierung,Automatisierung"
Service 6368,Fraunhofer IPA,"Empfehlung,Ueberwachung"
Service 6369,Fraunhofer IPA,Assistenz
Service 6370,Fraunhofer IPA,"Analyse,Assistenz"
Service 6371,HAW,"Clustering,Automatisierung,Mustererkennung"
Service 6372,SOP,"Assistenz,Optimierung"
Service 6373,Fraunhofer IPA,"Assistenz,Ueberwachung"
Service 6374,SOP,Analyse
Service 6375,SOP,"Diagnose,Ueberwachung,Optimierung"
Service 6376,SOP,"Mustererkennung,Assistenz,Ueberwachung"
Service 6377,SOP,"Assistenz,Analyse"
Service 6378,HAW,Sprachverarbeitung
Service 6379,SOP,"Clustering,Kommunikation,Empfehlung"
Service 6380,HAW,"Ueberwachung,Analyse"
Service 6381,SOP,Generierung
Service 6382,Fraunhofer IPA,"Diagnose,Automatisierung"
Service 6383,SOP,Generierung
Service 6384,SOP,"Assistenz,Diagnose,Automatisierung"
Service 6385,Fraunhofer IPA,"Clustering,Sprachverarbeitung"
Service 6386,HAW,"Assistenz,Ueberwachung"
Service 6387,SOP,Ueberwachung
Service 6388,Fraunhofer IPA,"Diagnose,Optimierung,Empfehlung"
Service 6389,SOP,"Kommunikation,Mustererkennung,Clustering"
Service 6390,HAW,"Empfehlung,Sprachverarbeitung,Optimierung"
Service 6391,Fraunhofer IPA,Assistenz
Service 6392,HAW,Empfehlung
Service 6393,HAW,"Diagnose,Generierung,Kommunikation"
Service 6394,HAW,Kommunikation
Service 6395,HAW,"Ueberwachung,Optimierung"
Service 6396,HAW,Sprachverarbeitung
Service 6397,Fraunhofer IPA,Optimierung
Service 6398,HAW,"Assistenz,Optimierung"
Service 6399,Fraunhofer IPA,"Analyse,Ueberwachung,Assistenz"
Service 6400,SOP,"Kommunikation,Mustererkennung"
Service 6401,SOP,"Automatisierung,Assistenz,Ueberwachung"
Service 6402,Fraunhofer IPA,"Ueberwachung,Generierung"
Service 6403,Fraunhofer IPA,"Automatisierung,Optimierung"
Service 6404,HAW,Clustering
Service 6405,Fraunhofer IPA,"Empfehlung,Clustering"
Service 6406,HAW,Mustererkennung
Service 6407,SOP,"Sprachverarbeitung,Generierung,Empfehlung"
Service 6408,HAW,"Assistenz,Sprachverarbeitung"
Service 6409,Fraunhofer IPA,Sprachverarbeitung
Service 6410,Fraunhofer IPA,"Mustererkennung,Clustering"
Service 6411,HAW,Optimierung
Service 6412,HAW,"Assistenz,Empfehlung"
Service 6413,SOP,Diagnose
Service 6414,HAW,"Ueberwachung,Empfehlung,Analyse"
Service 6415,SOP,Kommunikation
Service 6416,Fraunhofer IPA,Generierung
Service 6417,Fraunhofer IPA,Analyse
Service 6418,SOP,Kommunikation
Service 6419,SOP,"Optimierung,Ueberwachung,Empfehlung"
Service 6420,HAW,Optimierung
Service 6421,HAW,"Assistenz,Generierung"
Service 6422,SOP,"Diagnose,Mustererkennung"
Service 6423,HAW,"Assistenz,Diagnose,Kommunikation"
Service 6424,HAW,"Assistenz,Automatisierung,Empfehlung"
Service 6425,Fraunhofer IPA,"Ueberwachung,Clustering"
Service 6426,Fraunhofer IPA,"Optimierung,Empfehlung,Analyse"
Service 6427,HAW,Clustering
Service 6428,HAW,Automatisierung
Service 6429,HAW,"Kommunikation,Ueberwachung"
Service 6430,Fraunhofer IPA,"Analyse,Automatisierung,Kommunikation"
Service 6431,SOP,"Analyse,Ueberwachung,Diagnose"
Service 6432,SOP,"Empfehlung,Automatisierung"
Service 6433,SOP,Generierung
Service 6434,HAW,Diagnose
Service 6435,SOP,"Clustering,Diagnose"
Service 6436,HAW,"Mustererkennung,Empfehlung"
Service 6437,HAW,"Empfehlung,Ueberwachung,Diagnose"
Service 6438,Fraunhofer IPA,Clustering
Service 6439,SOP,Generierung
Service 6440,Fraunhofer IPA,"Diagnose,Optimierung"
Service 6441,Fraunhofer IPA,"Mustererkennung,Diagnose"
Service 6442,SOP,"Kommunikation,Assistenz,Analyse"
Service 6443,SOP,Sprachverarbeitung
Service 6444,Fraunhofer IPA,"Empfehlung,Mustererkennung,Generierung"
Service 6445,SOP,Optimierung
Service 6446,HAW,Empfehlung
Service 6447,Fraunhofer IPA,Mustererkennung
Service 6448,Fraunhofer IPA,"Generierung,Kommunikation"
Service 6449,SOP,"Analyse,Assistenz,Automatisierung"
Service 6450,SOP,"Kommunikation,Empfehlung"
Service 6451,SOP,"Automatisierung,Diagnose"
Service 6452,Fraunhofer IPA,"Empfehlung,Optimierung,Clustering"
Service 6453,SOP,"Sprachverarbeitung,Ueberwachung,Diagnose"
Service 6454,HAW,"Analyse,Kommunikation"
Service 6455,HAW,Mustererkennung
Service 6456,SOP,"Empfehlung,Clustering,Diagnose"
Service 6457,SOP,"Mustererkennung,Diagnose,Ueberwachung"
Service 6458,Fraunhofer IPA,"Automatisierung,Optimierung"
Service 6459,HAW,"Clustering,Assistenz"
Service 6460,HAW,"Assistenz,Analyse"
Service 6461,Fraunhofer IPA,"Diagnose,Analyse,Generierung"
Service 6462,SOP,"Ueberwachung,Optimierung,Assistenz"
Service 6463,Fraunhofer IPA,Mustererkennung
Service 6464,HAW,"Sprachverarbeitung,Analyse"
Service 6465,SOP,"Mustererkennung,Kommunikation"
Service 6466,SOP,"Assistenz,Diagnose"
Service 6467,SOP,"Ueberwachung,Assistenz"
Service 6468,SOP,"Optimierung,Diagnose"
Service 6469,Fraunhofer IPA,Kommunikation
Service 6470,SOP,Diagnose
Service 6471,HAW,"Assistenz,Mustererkennung,Optimierung"
Service 6472,SOP,"Empfehlung,Diagnose"
Service 6473,Fraunhofer IPA,"Diagnose,Sprachverarbeitung,Empfehlung"
Service 6474,HAW,"Sprachverarbeitung,Analyse"
Service 6475,HAW,"Empfehlung,Sprachverarbeitung"
Service 6476,Fraunhofer IPA,"Optimierung,Generierung"
Service 6477,Fraunhofer IPA,Sprachverarbeitung
Service 6478,SOP,"Optimierung,Empfehlung"
Service 6479,HAW,"Empfehlung,Kommunikation"
Service 6480,SOP,Diagnose
Service 6481,HAW,"Sprachverarbeitung,Analyse"
Service 6482,Fraunhofer IPA,"Sprachverarbeitung,Diagnose,Mustererkennung"
Service 6483,HAW,"Ueberwachung,Mustererkennung"
Service 6484,SOP,Analyse
Service 6485,SOP,"Ueberwachung,Assistenz"
Service 6486,SOP,"Optimierung,Empfehlung,Ueberwachung"
Service 6487,Fraunhofer IPA,"Generierung,Sprachverarbeitung"
Service 6488,SOP,"Clustering,Kommunikation"
Service 6489,Fraunhofer IPA,Sprachverarbeitung
Service 6490,HAW,Empfehlung
Service 6491,SOP,"Generierung,Assistenz,Sprachverarbeitung"
Service 6492,Fraunhofer IPA,"Sprachverarbeitung,Diagnose,Optimierung"
Service 6493,Fraunhofer IPA,"Diagnose,Sprachverarbeitung,Analyse"
Service 6494,SOP,Sprachverarbeitung
Service 6495,Fraunhofer IPA,Generierung
Service 6496,SOP,Optimierung
Service 6497,HAW,"Empfehlung,Assistenz,Clustering"
Service 6498,SOP,"Kommunikation,Automatisierung,Generierung"
Service 6499,SOP,Sprachverarbeitung
Service 6500,Fraunhofer IPA,"Automatisierung,Ueberwachung,Clustering"
